name,Pearson IC50,Spearman IC50,R2 IC50,MSE IC50,Pearson Emax,Spearman Emax,R2 Emax,MSE Emax
0.06,0.574020126408382,0.5574152291477519,0.325895342428531,2.6457597995668536,0.39371222405146766,0.3779334613477167,0.12142968188004677,0.011404753962444126
0.1,0.5968487152711568,0.5736626188358398,0.35548176204414483,2.709806262401269,0.5466746271898328,0.5391432588569585,0.29743045206994634,0.008811167427689486
0.125,0.6263494542589172,0.6046543326609235,0.38923351804396955,2.427824893760157,0.3714668896286722,0.37141029000837855,0.08549222479823992,0.011155119904389785
0.15,0.6228738421965234,0.6053514741014767,0.38423106325003575,2.3738754740792443,0.40226317015656454,0.36449276195296587,0.12404542034441468,0.010204954343987403
0.17,0.6467404626588268,0.6281544198163983,0.4126643319830946,2.4652780261915024,0.498736513119391,0.4745484091873624,0.2317100471072886,0.00948942377265239
0.25,0.6779537880815825,0.6485157587322856,0.45370809384788957,2.1726075776839004,0.6236191802664218,0.5869167650543702,0.3787930877910004,0.0076610124466502715
0.3,0.6874802573486432,0.6612073449021032,0.46944000918055007,2.2139483081092917,0.460601009955817,0.4383623086015682,0.1694668984915445,0.01025503383877089
0.375,0.6951287190380278,0.6665147311563147,0.48117506335336035,2.037943664876356,0.6421548476926754,0.6234907649007944,0.40548012616249873,0.006924348412102758
0.42,0.720996555899289,0.6988254935252036,0.5197263736286281,1.9635788450048368,0.674103485077383,0.649450142810489,0.4539936179926618,0.006617638539135981
0.5,0.7179606906175179,0.6945869992157215,0.5144674719828489,1.9905246457819228,0.6774572529588961,0.6492570941816763,0.45746141522503536,0.006729532985661106
0.625,0.7316049490866214,0.7025611508070966,0.5350707502001798,1.851040016276613,0.6871331071198992,0.6616172703287856,0.47160000943221847,0.006270991398214292
0.75,0.750468600409397,0.7237049392749724,0.5631830662583497,1.7902658638760638,0.7130771031856439,0.6843156446282116,0.5084007452974135,0.005955281954178792
0.85,0.7516433397459159,0.7268755884489088,0.563945456134239,1.7757304290863467,0.7099377477955323,0.6846678470602285,0.5021426707784592,0.006026333953924973
0.9,0.758124771659467,0.7315728151135072,0.5746988843543372,1.727551198822864,0.5716231946187805,0.5454902151663004,0.3141957372290376,0.00832259930655307
0.95,0.7613939569466097,0.7359755010068086,0.5796375001780123,1.7063190885211572,0.7148562182742092,0.6896327188307607,0.5109701274253504,0.0059062499221233635
0.98,0.7605999056089,0.7360386135079512,0.5784869916836441,1.7195983690134582,0.717131967354462,0.6913438345727103,0.5140914783322821,0.005981722109834177
0.06,0.5614434531079586,0.5385667470046641,0.31423915763731347,2.6430995127542944,0.3348827076126915,0.3241162098545203,0.07020036365749538,0.011073205776471067
0.1,0.6120171563958876,0.5744602889131769,0.3727868440979004,2.593882631553011,0.45596728537333864,0.4358800141419765,0.16320656687105328,0.010049835107477815
0.125,0.6505222984096194,0.617234530398521,0.418698891035452,2.407682381872921,0.5517449351012172,0.5217662115887596,0.29248348039047045,0.008929357694075954
0.15,0.6336455543850961,0.6066099887924092,0.4004351662212211,2.4321010054073264,0.39100214782331577,0.3928230105851151,0.10747222307389181,0.010809929166468033
0.17,0.6327300397993117,0.6053899606367006,0.39990532817075763,2.4788609708289404,0.3742612779441018,0.3700206565307174,0.09141948145835932,0.011043924986456765
0.25,0.6857288746433071,0.660352497256392,0.4698755605647488,2.152955206510863,0.41702610253645656,0.4094024693100913,0.12464843569351647,0.010800301718306147
0.3,0.6948849429484185,0.6756317189031912,0.4805411082016068,2.0726094566011217,0.64647756188283,0.6204210866616122,0.4122128328763802,0.007048858409134848
0.375,0.708646399637182,0.6905764638343725,0.5002118459871804,2.0381766220798574,0.4381208643476286,0.42685626368260765,0.15594641243439233,0.010342336001819963
0.42,0.6972071920091851,0.6661379405445751,0.48598208012360855,2.1419364863062644,0.6567562891736625,0.628179395909083,0.43065880163097714,0.006886511852742548
0.5,0.723721415500005,0.7005711817234571,0.5233948506341559,1.9618442803840008,0.6829564549999182,0.6564652538177246,0.4651344085530822,0.006628662302821097
0.625,0.7334627296241185,0.7047109895345908,0.5362202998703399,1.8446032393339835,0.5451852028844687,0.5253053777576121,0.2856960304969566,0.008360148161092115
0.75,0.7520831169408555,0.7288297822743144,0.565615943812684,1.7670532305731672,0.7122901031468312,0.6882621980694308,0.5071944160065738,0.006041256833262056
0.85,0.7483435592126396,0.726268759662745,0.5600137723019369,1.7900838350970079,0.7080631561521716,0.6843085561902347,0.5012355169608176,0.006043073841637806
